nameFirst,nameLast,birthYear,birthCountry,deathYear,deathCountry
Ed,White,1926,USA,1982,USA
Sparky,Adams,1894,USA,1989,USA
Bob,Johnson,1959,USA,,
Johnny,Ryan,1853,USA,1902,USA
Jose,Alvarez,1956,USA,,
Andrew,Brown,1981,USA,,
Chris,Johnson,1984,USA,,
Johnny,Johnson,1914,USA,1991,USA
Albert,Williams,1954,Nicaragua,,
Ed,Brown,,USA,,
Brady,Clark,1973,USA,,
Jimmie,Keenan,1899,USA,1980,USA
John,Glenn,1850,USA,1888,USA
Tomas,Perez,1973,Venezuela,,
Carlos,Hernandez,1997,Venezuela,,
Joe,Holden,1913,USA,1996,USA
Fred,Johnston,1899,USA,1959,USA
Jose,Lopez,1983,Venezuela,,
Mike,Mahoney,1873,USA,1940,USA
Gene,Wright,1878,USA,1930,USA
Bill,Schwartz,1884,USA,1961,USA
John,McCloskey,1882,USA,1919,USA
John,Barfield,1964,USA,2016,USA
Chris,Smith,1988,USA,,
Hob,Hiller,1893,USA,1956,USA
Felix,Martinez,1974,D.R.,,
Leo,Garcia,1962,D.R.,,
Tom,Brown,1949,USA,,
Edgar,Ramos,1975,Venezuela,,
Maikel,Franco,1992,D.R.,,
John,Johnstone,1968,USA,,
John,Fitzgerald,1866,USA,1892,USA
Walter,Clarkson,1878,USA,1946,USA
Charlie,Carr,1876,USA,1932,USA
John,Farrell,1876,USA,1921,USA
Don,Wallace,1940,USA,,
John,Russell,1961,USA,,
George,Burns,1889,USA,1966,USA
Chick,Fulmer,1851,USA,1940,USA
Chris,Carter,1982,USA,,
Cory,Rasmus,1987,USA,,
Harry,Taylor,1907,USA,1969,USA
John,Curtiss,1993,USA,,
Denny,Sullivan,1882,USA,1956,USA
Sam,Bowen,1952,USA,,
Edward,Paredes,1986,D.R.,,
Max,West,1916,USA,2003,USA
James,McDonald,1984,USA,,
Joe,Stewart,1879,USA,1913,USA
Jim,Keenan,1856,USA,1926,USA
Michael,Perez,1992,P.R.,,
Brooks,Robinson,1937,USA,,
Bob,Powell,1933,USA,2014,USA
Joe,Evers,1891,USA,1949,USA
Jeff,Doyle,1956,USA,,
John,O'Donoghue,1969,USA,,
Junior,Fernandez,1997,D.R.,,
Joey,Butler,1986,USA,,
Dave,Johnson,1948,USA,,
Jose,Rodriguez,1995,Venezuela,,
Josh,Willingham,1979,USA,,
Eric,Young,1967,USA,,
Joe,Cassidy,1883,USA,1906,USA
Ed,Murray,1895,USA,1970,USA
Hugh,Hill,1879,USA,1958,USA
Wiley,Davis,1875,USA,1942,USA
Dan,Schneider,1942,USA,,
Bill,DeLancey,1911,USA,1946,USA
Hank,Greenberg,1911,USA,1986,USA
Dots,Miller,1886,USA,1923,USA
Roy,Smith,1976,USA,,
Bill,Sullivan,1853,Ireland,1884,USA
John,Romano,1934,USA,2019,USA
Frank,Barnes,1926,USA,2014,USA
Anthony,Chavez,1970,USA,,
Jack,Tobin,1892,USA,1969,USA
Jack,White,1878,USA,1963,USA
Mickey,Welch,1859,USA,1941,USA
Jim,Anderson,1957,USA,,
George,Smith,1937,USA,1987,USA
Hal,Kelleher,1914,USA,1989,USA
Dale,Murphy,1956,USA,,
Michael,Young,1976,USA,,
Al,Williamson,1900,USA,1978,USA
Billy,Smith,1861,USA,1928,USA
John,Kane,1882,USA,1934,USA
John,Butler,1879,USA,1950,USA
Jim,Bagby,1889,USA,1954,USA
Wib,Smith,1886,USA,1959,USA
Pedro,Hernandez,1989,Venezuela,,
Phil,Clark,1932,USA,2018,USA
John,Riddle,1864,USA,1931,USA
Mark,Lee,1953,USA,,
Mike,Stanton,1967,USA,,
Stan,Yerkes,1874,USA,1940,USA
Tony,Pena,1982,D.R.,,
Joe,Wood,1916,USA,2002,USA
Dale,Long,1926,USA,1991,USA
Ramon,Hernandez,1940,P.R.,2009,P.R.
Charlie,Householder,1854,USA,1913,USA
Bill,Moore,1901,USA,1972,USA
Rookie,Davis,1993,USA,,
Rich,Rodriguez,1963,USA,,
Matt,Duffy,1989,USA,,
Deion,Sanders,1967,USA,,
Jacke,Davis,1936,USA,2021,USA
Mike,Marshall,1943,USA,2021,USA
Joe,Berry,1894,USA,1976,USA
Bill,Sweeney,1886,USA,1948,USA
Matt,Duffy,1991,USA,,
Roy,Wright,1933,USA,2018,USA
Antonio,Santos,1996,D.R.,,
Webb,Schultz,1898,USA,1986,USA
Brandon,Snyder,1986,USA,,
Brett,Campbell,1981,USA,,
Jorge,De Paula,1978,D.R.,,
Miguel,Diaz,1994,D.R.,,
Bill,Gilbert,1868,USA,1927,USA
Tom,Martin,1970,USA,,
Bobby,Jones,1972,USA,,
Bill,Kelly,,USA,,
Pat,Gillick,1937,USA,,
Jim,Callahan,1881,USA,1968,USA
Dixie,Walker,1910,USA,1982,USA
Bruce,Cunningham,1905,USA,1984,USA
Jeff,Jones,1957,USA,,
David,Wright,1982,USA,,
Terry,Turner,1881,USA,1960,USA
Carson,Smith,1989,USA,,
John,Kane,1900,USA,1956,USA
Tom,Burns,1857,USA,1902,USA
Jimmy,Brown,1910,USA,1977,USA
Mark,Smith,1970,USA,,
Yonny,Hernandez,1998,Venezuela,,
John,Coleman,1863,USA,1922,USA
Luis,de los Santos,1977,D.R.,,
Fred,Frank,1873,USA,1950,USA
Jeremy,Brown,1979,USA,,
George,Bradley,1852,USA,1931,USA
Doc,Johnston,1887,USA,1961,USA
Mike,Griffin,1957,USA,,
Alejandro,Sanchez,1959,D.R.,,
Larry,Andersen,1953,USA,,
Roberto,Rodriguez,1941,Venezuela,2012,Venezuela
Lance,McCullers,1964,USA,,
Earl,Smith,1891,USA,1943,USA
Gene,Derby,1860,USA,1917,USA
Lew,Krausse,1912,USA,1988,USA
Dewey,Williams,1916,USA,2000,USA
Ricky,Adams,1959,USA,2011,USA
Jeremy,Moore,1987,USA,,
Jack,Farrell,1857,USA,1914,USA
Ed,Donnelly,1932,USA,1992,USA
Mark,Stewart,1889,USA,1932,USA
Mark,Leiter,1991,USA,,
Bart,Johnson,1950,USA,2020,USA
George,Scott,1944,USA,2013,USA
Mark,Corey,1955,USA,,
Earl,Williams,1948,USA,2013,USA
Chili,Davis,1960,Jamaica,,
Ramon,Ramirez,1982,Venezuela,,
Jim,Archer,1932,USA,2019,USA
Harry,Davis,1908,USA,1997,USA
Frank,Thomas,1968,USA,,
Craig,Wilson,1970,USA,,
Joe,Nelson,1974,USA,,
Dave,Robertson,1889,USA,1970,USA
Tom,Foley,1847,USA,1896,USA
John,Wilson,1903,USA,1980,USA
Jack,Smith,1893,USA,1962,USA
Brian,Giles,1971,USA,,
John,Humphries,1861,CAN,1933,USA
Derrek,Lee,1975,USA,,
Eli,White,1994,USA,,
Don,White,1919,USA,1987,USA
Marcus,Lawton,1965,USA,,
Jim,Williams,1947,USA,,
Steve,Dunn,1858,CAN,1933,CAN
Mike,Anderson,1966,USA,,
John Henry,Johnson,1956,USA,,
Timothy,Jones,1954,USA,,
Doc,Marshall,1906,USA,1999,USA
Sheldon,Jones,1922,USA,1991,USA
Josh,Harrison,1987,USA,,
Eddy,Rodriguez,1985,Cuba,,
Tom,Smith,1871,USA,1929,USA
Ron,Wright,1976,USA,,
Luis,Perdomo,1993,D.R.,,
Matt,Clark,1986,USA,,
Alf,Anderson,1914,USA,1985,USA
Chris,Green,1960,USA,,
Billy,Sullivan,1910,USA,1994,USA
Allan,Ramirez,1957,USA,,
Jon,Singleton,1991,USA,,
Eduardo,Nunez,1987,D.R.,,
Jarrod,Parker,1988,USA,,
Charlie,Beamon,1953,USA,,
Bill,Hollahan,1896,USA,1965,USA
Ivan,De Jesus,1987,P.R.,,
Skipper,Roberts,1888,USA,1963,USA
Robert,Brown,,,,
Fritz,Brickell,1935,USA,1965,USA
Wid,Matthews,1896,USA,1965,USA
Ramon,Hernandez,1976,Venezuela,,
Darren,Ford,1985,USA,,
Frank,Cross,1873,USA,1932,USA
Rodney,Scott,1953,USA,,
Jackie,Bradley,1990,USA,,
Hal,Morris,1965,USA,,
Kevan,Smith,1988,USA,,
Sandy,Alomar,1966,P.R.,,
Bill,Piercy,1896,USA,1951,USA
Mark,Salas,1961,USA,,
Roy,Foster,1945,USA,2008,USA
Jack,Burns,1907,USA,1975,USA
Jim,Price,1847,USA,1925,USA
Daniel,Wright,1991,USA,,
Brian,Anderson,1993,USA,,
Jose,Herrera,1942,Venezuela,2009,Venezuela
Fred,Demarais,1866,CAN,1919,USA
Deacon,McGuire,1863,USA,1936,USA
Joseph,Quinn,1856,USA,,
Tom,Connolly,1892,USA,1966,USA
Will,Smith,1989,USA,,
